[0.007s] Invoking command in '/home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/build/amr_nav2_jetson': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/build/amr_nav2_jetson -- -j16 -l16
[0.037s] Invoked command in '/home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/build/amr_nav2_jetson' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/build/amr_nav2_jetson -- -j16 -l16
[0.044s] Invoking command in '/home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/build/amr_nav2_jetson': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/build/amr_nav2_jetson
[0.051s] -- Install configuration: ""
[0.051s] -- Execute custom install script
[0.051s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/config/drive_amr_teleop.rviz
[0.051s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/config/empty.yaml
[0.051s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/config/my_controllers.yaml
[0.051s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/config/view_amr.rviz
[0.052s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/description/camera.xacro
[0.052s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/description/depth_camera.xacro
[0.052s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/description/gazebo_control.xacro
[0.052s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/description/inertial_macros.xacro
[0.052s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/description/lidar.xacro
[0.052s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/description/robot.urdf.xacro
[0.052s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/description/robot_core.xacro
[0.052s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/description/ros2_control.xacro
[0.052s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/launch/launch_sim.launch.py
[0.052s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/launch/rsp.launch.py
[0.052s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/worlds/custom_world1.world
[0.053s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/worlds/empty.world
[0.053s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/ament_index/resource_index/package_run_dependencies/amr_nav2_jetson
[0.053s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/ament_index/resource_index/parent_prefix_path/amr_nav2_jetson
[0.053s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/environment/ament_prefix_path.sh
[0.053s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/environment/ament_prefix_path.dsv
[0.053s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/environment/path.sh
[0.053s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/environment/path.dsv
[0.053s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/local_setup.bash
[0.054s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/local_setup.sh
[0.054s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/local_setup.zsh
[0.054s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/local_setup.dsv
[0.054s] -- Symlinking: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/package.dsv
[0.060s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/ament_index/resource_index/packages/amr_nav2_jetson
[0.060s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/cmake/amr_nav2_jetsonConfig.cmake
[0.060s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/cmake/amr_nav2_jetsonConfig-version.cmake
[0.060s] -- Up-to-date symlink: /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/install/amr_nav2_jetson/share/amr_nav2_jetson/package.xml
[0.062s] Invoked command in '/home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/build/amr_nav2_jetson' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/arkadeep/EDL/AutoDriveCar/softStack/amr_ws/build/amr_nav2_jetson
